bc_num,coll_code,HW,HL,SL,EL,FL,ML,PL,PPL,GL,CI,EI,SI,FLI,WL,TL,caste,species,country,comment
640421,RMMA100519-01,1.155,1.098,1.014,0.197,0.676,1.69,0.479,0.253,1.098,105.1913,17.9417,87.7922,58.5281,0.732,4.618,worker,mikromelanos,Panama,none
640422,RMMA100519-01,1.183,1.014,1.07,0.197,0.732,1.774,0.507,0.253,1.126,116.6667,19.428,90.448,61.8766,0.76,4.674,worker,mikromelanos,Panama,none
640423,RMMA100519-04,1.112,0.929,0.986,0.197,0.648,1.577,0.422,0.225,1.042,119.6986,21.2056,88.6691,58.2734,0.647,4.195,worker,mikromelanos,Panama,none
640424,RMMA100519-04,1.126,0.986,1.014,0.197,0.704,1.661,0.479,0.253,1.098,114.1988,19.9797,90.0533,62.5222,0.732,4.477,worker,mikromelanos,Panama,none
640425,RMMA100519-04,1.042,0.929,0.957,0.197,0.634,1.521,0.394,0.225,0.986,112.1636,21.2056,91.8426,60.8445,0.619,4.055,worker,mikromelanos,Panama,none
640426,RMMA100519-04,1.07,0.929,0.986,0.197,0.648,1.577,0.366,0.225,0.986,115.1776,21.2056,92.1495,60.5607,0.591,4.083,worker,mikromelanos,Panama,none
640427,RMMA100519-04,1.042,1.014,0.929,0.197,0.62,1.492,0.422,0.253,0.986,102.7613,19.428,89.1555,59.501,0.675,4.167,worker,mikromelanos,Panama,none
640428,RMMA100511-02,1.098,0.929,1.014,0.197,0.676,1.605,0.465,0.225,1.042,118.1916,21.2056,92.3497,61.5665,0.69,4.266,worker,mikromelanos,Panama,none
640429,RMMA100511-02,1.098,0.929,1.014,0.197,0.676,1.633,0.451,0.253,1.042,118.1916,21.2056,92.3497,61.5665,0.704,4.308,worker,mikromelanos,Panama,none
640430,RMMA100511-02,1.07,0.929,0.986,0.197,0.648,1.605,0.422,0.253,1.014,115.1776,21.2056,92.1495,60.5607,0.675,4.223,worker,mikromelanos,Panama,none
CASENT0633645,JTL6,1.049,0.938,0.957,0.184,0.644,1.527,0.313,0.239,0.957,111.8337,19.6162,91.2297,61.3918,0.552,3.974,worker,mikromelanos,Panama,none
640504,RMMA050727-06,1.0797,0.9516,0.9882,0.18,0.666,1.5921,0.4575,0.2745,1.0431,113.4615,18.9155,91.5254,61.6838,0.732,4.3188,worker,mikromelanos,Panama,none
640505,RMMA050727-06,1.1163,1.0065,1.0248,0.189,0.666,1.647,0.456,0.2745,1.0431,110.9091,18.7779,91.8033,59.6614,0.7305,4.4271,worker,mikromelanos,Panama,none
640506,RMMA050727-06,1.1346,1.0065,1.0431,0.2013,0.7137,1.7385,0.437,0.2928,1.0797,112.7273,20,91.9355,62.9032,0.7298,4.5545,worker,mikromelanos,Panama,none
